epoch,acc,fbeta_score,loss,precision,recall,val_acc,val_fbeta_score,val_loss,val_precision,val_recall
0,0.635970982143,0.591053643434,0.643349900448,0.626120905661,0.530210411268,0.679375,0.651867729127,0.608484711817,0.696576484357,0.546841056475
1,0.669285714286,0.63638479377,0.620337603433,0.66201374989,0.589934698214,0.686428571429,0.66091887555,0.599252312013,0.702254353208,0.562250821676
2,0.675334821429,0.643939219814,0.614072720462,0.665799178657,0.604705330868,0.694464285714,0.668845196622,0.596943780695,0.697186935501,0.599895583136
3,0.678973214286,0.648025740774,0.61063301245,0.666844693039,0.613625235398,0.687053571429,0.661002421847,0.598165822625,0.70959956382,0.545265223895
4,0.682399553571,0.651977766438,0.608081463182,0.670761127935,0.617918852131,0.696071428571,0.66672830488,0.595203837156,0.672570065643,0.667413902198
5,0.68359375,0.653542766363,0.606103459969,0.672625494988,0.618472392979,0.695892857143,0.666515616945,0.592701400774,0.671527543451,0.671013373988
6,0.683705357143,0.653485037014,0.603725311788,0.673514930909,0.616564621925,0.695089285714,0.670247367876,0.591533994249,0.700838973586,0.592610327389
7,0.685558035714,0.655448664368,0.602686744939,0.673808791776,0.620683654765,0.696696428571,0.670639496488,0.592265090091,0.692403849576,0.618565468448
8,0.688046875,0.657961240863,0.601731579815,0.675256170056,0.627409563873,0.697767857143,0.672142378858,0.591167051707,0.696025858841,0.614748275493
9,0.68828125,0.658227533863,0.600291013239,0.675622779722,0.625940713159,0.696785714286,0.666368269069,0.591178885528,0.668177728781,0.682145910348
10,0.690111607143,0.66057028209,0.599465306593,0.677595569891,0.629089863452,0.6975,0.667152820059,0.592249507393,0.669076864507,0.682002081956
11,0.691752232143,0.661520785583,0.597646372116,0.679080401185,0.631218052091,0.685625,0.661457589056,0.601983797721,0.740479374443,0.489270496624
12,0.692232142857,0.662995156353,0.597939613206,0.680829776062,0.628886399296,0.70125,0.67483607356,0.58741309166,0.691254036469,0.639681392823
13,0.693113839286,0.664533910807,0.596982922618,0.682875497338,0.630863658302,0.697857142857,0.671169082395,0.586260054197,0.688830576198,0.632390896337
14,0.692399553571,0.663682696186,0.596263061336,0.680327967608,0.633326174803,0.700446428571,0.671680691242,0.586133022564,0.684447795791,0.648081343004
15,0.694955357143,0.66651288396,0.595092779472,0.681906055792,0.639971819414,0.70125,0.67625013956,0.585961831042,0.70247002029,0.611895676894
16,0.69390625,0.664665958072,0.59506952621,0.680674381754,0.638062689786,0.698125,0.674852831364,0.588498389806,0.716525242094,0.571123302877
17,0.69546875,0.666268449846,0.593827833118,0.683033510329,0.635367047486,0.701071428571,0.670759862874,0.590240892427,0.669798341862,0.697540981599
18,0.695993303571,0.667212238285,0.592807079341,0.683769631386,0.63691160082,0.702142857143,0.675679355413,0.588691526992,0.693341882144,0.637373978581
19,0.696696428571,0.668135398829,0.592458417001,0.684236841734,0.639203407003,0.702410714286,0.675308369803,0.583563267589,0.690152602877,0.646714306048
